n name b3 b4 reference
46 Ca4227 4222.2500 4234.7500 (Trager+98)
47 G4300 4281.3750 4316.3750 (Trager+98)
48 HgA 4319.7500 4363.5000 (Worthey,Ottaviani97)
49 Fe4326 4320.5000 4329.5000 (Gregg94)
50 HgF 4331.2500 4352.2500 (Worthey,Ottaviani97)
51 Hg_sigma_27 4331.5000 4351.8750 (Vazdekis,Arimoto99)
52 Hg_sigma_20 4332.0000 4352.2500 (Vazdekis,Arimoto99)
53 Hg_sigma_12 4333.0000 4352.7370 (Vazdekis,Arimoto99)
54 Hg_sigma_13 4333.2500 4363.0000 (Vazdekis+01)
55 Fe4383 4369.1250 4420.3750 (Trager+98)
56 Fe4457 4448.5000 4467.0000 (Gregg94)
57 Ca4455 4452.1250 4474.6250 (Trager+98)
58 Fe4531 4514.2500 4559.2500 (Trager+98)
59 Fe4592 4520.0000 4538.0000 (Gregg94)
60 FeII4550 4543.0000 4557.0000 (Gregg94)
61 Ca4592 4578.0000 4603.0000 (Gregg94)
62 CO4685 4626.4000 4743.3000 (Serven+05)
63 C2_4668 4634.0000 4720.2500 (Trager+98)
64 bTiO 4758.5000 4800.0000 (Spiniello+14)
65 Mg4780 4760.8000 4798.8000 (Serven+05)
66 Hbeta_o 4839.2750 4877.0970 (Cervantes,Vazdekis09)
67 Hbeta 4847.8750 4876.6250 (Trager+98)
68 Fe4920 4914.0000 4926.0000 (Gregg94)
69 Fe5015 4977.7500 5054.0000 (Trager+98)
70 Mg1 5069.1250 5134.1250 (Trager+98)
71 MgH 5084.0000 5140.0000 (Gregg94)
72 MgG 5150.0000 5195.0000 (Brodie,Huchra90)
73 Mg2 5154.1250 5196.6250 (Trager+98)
74 Mgb 5160.1250 5192.6250 (Trager+98)
75 Fe5270 5245.6500 5285.6500 (Trager+98)
76 Fe5335 5312.1250 5352.1250 (Trager+98)
77 Fe5406 5387.5000 5415.0000 (Trager+98)
78 aTiO 5445.0000 5600.0000 (Spiniello+14)
79 Fe5709 5696.6250 5720.3750 (Trager+98)
80 Fe5782 5776.6250 5796.6250 (Trager+98)
81 NaD 5876.8750 5909.3750 (Trager+98)
82 TiO1 5936.6250 5994.1250 (Trager+98)
83 Ca6162 6155.0000 6177.0000 (Gregg94)
84 Fe6189 6185.0000 6193.0000 (Gregg94)
85 TiO2 6189.6250 6272.1250 (Trager+98)
86 TiO2sdss 6189.6250 6272.1250 (LaBarbera+13)
87 CaH1 6357.5000 6401.7500 (Spiniello+14)
88 Fe6497 6487.0000 6504.0000 (Gregg94)
89 Halpha 6548.0000 6578.0000 (Cohen+98)
90 Ha_Gregg94 6554.0000 6570.0000 (Gregg94)
91 CaH2 6775.0000 6900.0000 (Spiniello+14)
92 IR_NaI 8170.0000 8220.0000 (Pickles85)
93 NaI8190sdss 8180.0000 8200.0000 (LaBarbera+13)
94 NaI8200A 8180.0000 8200.0000 (Vazdekis+12)
95 TiO1_0.85 8450.0000 8700.0000 (Carter+86)
96 Ca_DTT_1 8483.0000 8513.0000 (Diaz+89)
97 Ca1 8484.0000 8513.0000 (Cenarro+01,LaBarbera+13)
98 CaAZ88_1 8490.0000 8506.0000 (Armandroff,Zinn88)
99 Ca2 8522.0000 8562.0000 (Cenarro+01,LaBarbera+13)
100 Ca_DTT_2 8527.0000 8557.0000 (Diaz+89)
101 CaAZ88_2 8532.0000 8552.0000 (Armandroff,Zinn88)
102 Ca3 8642.0000 8682.0000 (Cenarro+01,LaBarbera+13)
103 Ca_DTT_3 8647.0000 8677.0000 (Diaz+89)
104 CaAZ88_3 8653.0000 8671.0000 (Armandroff,Zinn88)
105 MgI_DTT 8799.5000 8814.0000 (Diaz+89)
106 TiO2_0.89 8890.0000 9060.0000 (Carter+86)
107 IR_CN 9160.0000 9300.0000 (Pickles85)
108 CN_ZrO 9170.0000 9470.0000 (Carter+86)
109 FeH 9895.0000 9945.0000 (Carter+86)
110 FeH0.99 9902.2780 9932.2700 (Conroy,vanDokkum12)
111 CI1.07 10680.000 10717.000 (Rock15)
112 CN1.10 10910.000 11090.000 (Rock15)
113 NaI1.14 11350.000 11430.000 (Rock15)
114 Na1.14 11368.879 11411.867 (LaBarbera+16)
115 FeI1.16 11580.000 11630.000 (Rock15)
116 MgI1.18 11825.000 11850.000 (Rock15)
117 SiI1.20 11955.000 12005.000 (Rock15)
118 MgI1.24 12405.000 12455.000 (Rock15)
119 Pa_beta1.28 12800.000 12850.000 (Rock15)
120 MnI1.29 12893.000 12995.000 (Rock15)
121 AlI1.31 13095.000 13170.000 (Rock15)
122 MgI1.49 14855.000 14905.000 (Rock15)
123 MgI1.50 15006.000 15070.000 (Rock15)
124 MgI1.50m 15020.000 15060.000 (Ivanov+04)
125 MgI1.58 15750.000 15810.000 (Rock15)
126 FeI1.58m 15810.000 15850.000 (Ivanov+04)
127 SiI1.59 15860.000 15920.000 (Rock15)
128 SiI1.59m 15870.000 15910.000 (Origlia+93)
129 CO1.62 16155.000 16275.000 (Rock15)
130 CO1.62m 16175.000 16220.000 (Origlia+93)
131 MgI1.71 17045.000 17145.000 (Rock15)
132 MgI1.71m 17100.000 17130.000 (Ivanov+04)
133 MgI2.11m 21040.000 21110.000 (Ivanov+04)
134 Brg2.16m 21639.000 21686.000 (Kleinmann,Hall96)
135 NaI2.21 22040.000 22107.000 (Frogel+01)
136 NaI2.21a 22040.000 22110.000 (Ali+95)
137 NaI2.21k 22053.000 22101.000 (Kleinmann,Hall96)
138 Na2.21 22041.000 22099.000 (LaBarbera+16)
139 FeIa 22251.000 22332.000 (Silva+08)
140 FeIb 22369.000 22435.000 (Silva+08)
141 CaI2.26 22577.000 22692.000 (Frogel+01)
142 CaI2.26m 22580.000 22690.000 (Ali+95)
143 CaI2.26k 22611.000 22662.000 (Kleinmann,Hall96)
144 MgI2.28i 22780.000 22832.000 (Ivanov+04)
145 MgI2.28a 22790.000 22850.000 (Ali+95)
146 MgI2.28 22790.000 22850.000 (Silva+08)
